company;role;Salary
3M;Аналитик по доставке;44000
Adani Green Energy;координатор маркетинговых исследований;50400
Adani Ports and Special Economic Zone;Аналитик по обеспечению качества;47200
AES;архитектор проектов;48800
Aflac;инвестиционный аналитик;44800
AGCO;Веб-разработчик;50400
Alibaba Health Information Technology;Координатор по подбору персонала;52000
Altria Group;аналитик по обеспечению качества;51200
American Electric Power;креативный копирайтер;48800
American Tower;ветеринар мелких животных;52000
Ameriprise Financial;координатор цепочки поставок;44800
Archer Daniels Midland;аналитик по исследованию рынка;49600
Arconic;Регистратор;44800
Asbury Automotive Group;Специалист по планированию перевозок;45600
Ashtead Group;специалист по устойчивому развитию;48800
Associated British Foods;B2B Консультант по продажам;47200
AutoNation;консультант по продажам B2B;51200
Auto-Owners Insurance;психолог-исследователь;45600
Avantor;дизайнер взаимодействия;44000
Avnet;дизайнер интерфейсов;48800
Bajaj Auto;специалист по работе с клиентами;49600
Bajaj Finserv;региональный директор по продажам;51200
Balfour Beatty;бизнес-аналитик данных;48000
Bayer AG;бренд-менеджер по продукции;52000
BHEL;представитель по внутренним продажам;44800
Bodycote;фронт-энд разработчик;52000
Brighthouse Financial;техник по поддержке настольных компьютеров;52000
Britannia Industries;логопед для взрослых;45600
Burberry Group;тестировщик производительности;47200
BYD Company;менеджер по работе с клиентами;48000
Cairn Energy;менеджер по проведению конференций;51200
Carnival Corporation & plc;инженер-проектировщик;48000
Carrier Global;Семейная медсестра-практикант;47200
CBRE Group;Дизайнер по освещению;49600
CDW;Дизайнер пользовательского интерфейса;48000
Ceconomy AG;медсестра-практикант по оказанию неотложной помощи;48800
CIMIC Group;координатор обучения;52000
Colgate-Palmolive;гериатрическая медсестра-практикант;49600
Community Health Systems;аналитик по логистике;51200
Computacenter;аналитик по контролю качества;48000
Consolidated Edison;свадебный дизайнер;48000
Constellation Brands;судебный адвокат;46400
Continental AG;Менеджер по инвентаризации;48800
Continental Resources;Дизайнер пользовательского интерфейса;52000
Corning;контент-писатель;48000
Corteva;техник по поддержке настольных компьютеров;48000
Croda International;менеджер по закупкам;47200
CSX;свадебный консультант;48000
Dana;дизайнер интерьера;49600
DCP Midstream;архитектор облачных вычислений;47200
Deere;социальный работник в школе;48000
Delta Air Lines;Дизайнер пользовательского интерфейса;49600
Deutsche Pfandbriefbank AG;художественный куратор;48800
Deutsche Post DHL Group;аналитик центра управления безопасностью;50400
Diageo;разработчик баз данных;48800
Disney+;менеджер по работе с клиентами;45600
Divi's Laboratories;персональный налоговый консультант;45600
Dover;координатор закупок;47200
Dow;международный налоговый консультант;47200
DTE Energy;Координатор цепочки поставок;46400
Eastman Chemical;системный администратор;46400
EasyJet;Семейная медсестра;51200
EnLink Midstream;аналитик по сетевой безопасности;44800
Enterprise Products Partners;региональный директор по продажам;44000
Equitable Holdings;архитектор данных;44800
Eversource Energy;специалист по продажам медицинских услуг;44000
Exelon;Java бэкэнд разработчик;50400
Expedia Group;инженер-химик;49600
Fannie Mae;руководитель отдела продаж;44800
Farmers Insurance Exchange;контент-стратег;48800
FedEx;классный руководитель;50400
Fiat Chrysler Automobiles N.V.;Менеджер по работе с клиентами;44800
Fidelity Investments;инженер по большим данным;44000
Geely Automobile Holdings;Дизайнер пользовательского интерфейса;48800
General Electric;финансовый аналитик;52000
General Mills;менеджер строительных проектов;44800
GlaxoSmithKline;Sales Account Executive;45600
Glenmark Pharmaceuticals;Разработчик серверных приложений;48000
Gree Electric Appliances;консультант по работе с зависимыми людьми;44800
Group 1 Automotive;аналитик по обеспечению качества;52000
Halma;юрист по вопросам опеки над детьми;52000
HCL Technologies;Координатор цепочки поставок;48000
Henkel AG & Co. KGaA;торговый представитель;45600
Hershey;Sales Account Executive;47200
Hess;инженер беспроводной сети;52000
Hindalco Industries;Agile Project Manager;52000
Huntsman;финансовый бухгалтер;44000
IBM (International Business Machines Corporation);детский логопед;50400
Icahn Enterprises;менеджер по социальным сетям;47200
Intercontinental Exchange;инженер по базам данных NoSQL;50400
InterContinental Hotels Group;Бренд-стратег;44800
Interpublic Group;инженер по сетевой безопасности;48000
Jubilant Foodworks;Менеджер по работе с клиентами;52000
Kinder Morgan;IT бизнес-аналитик;50400
KKR;координатор по кадрам;52000
Leidos Holdings;дизайнер пользовательского интерфейса;51200
Lendlease Group;инженер по большим данным;52000
Lincoln National;инженер-строитель;52000
Linde plc;Менеджер по работе с клиентами;44800
LKQ;дизайнер взаимодействия;48800
Marathon Oil;испытатель автоматики;47200
MetLife;директор по уходу за больными;48000
Mondelez International;создатель контента;44000
Muthoot Finance;Координатор льгот;44800
Nestle India;аналитик по закупкам;47200
News Corp.;разработчик баз данных;44800
NextEra Energy;Бренд-менеджер по продукции;52000
NGL Energy Partners;юридический секретарь;49600
Northrop Grumman;организатор мероприятий;48000
NRG Energy;специалист по системной интеграции;52000
Nucor;дизайнер коммерческого интерьера;47200
ODP;координатор художественного образования;51200
Oil Search;Бэкэнд разработчик;49600
Old Republic International;Специалист по планированию налогов;44000
Otis Worldwide;фронт-энд разработчик;51200
Peter Kiewit Sons;разработчик баз данных;47200
Playtech;Аналитик по логистике;44000
PNC Financial Services Group;Instructional Designer;48000
Power Grid Corporation of India;планировщик спроса;44800
Publix Super Markets;специалист по контролю за запасами;44000
PulteGroup;аналитик по логистике;46400
